Galaxy	  D      M9    MB12   E19    RA      Dec     WF
NGC821    24.1   0.19  0.12   5.33   31.42   10.76   2.3
NGC1399   17.9   5.2   0.32   13.7   54.14   -35.61  2.3
IC1459    29.2   1.5   0.66   11.0   343.60  -36.29  6.0
NGC1600   50.2   11.6  1.29   19.9   67.30   -5.19   6.5
NGC2300   34.0   2.7   0.39   12.0   108.94  85.81   3.3
NGC2832   90.2   11.4  0.98   19.1   139.18  33.96   5.1
NGC3115   9.7    0.35  0.14   6.3    150.69  -7.48   2.2
NGC3245   20.9   0.21  0.04   4.7    156.13  28.76   0.82
NGC3379   10.6   0.39  0.076  6.0    161.30  12.85   1.2
NGC3608   22.9   0.25  0.11   5.6    168.59  18.42   1.9
NGC4168   36.4   1.19  0.27   9.3    182.43  13.48   2.9
NGC4261   31.6   0.52  0.04   8.0    184.21  8.02    5.6
NGC4278   17.5   1.56  0.14   9.1    184.41  29.56   1.5
NGC4291   26.2   1.86  0.12   9.3    184.52  75.65   1.3
NGC4342   11.4   0.22  0.01   4.0    185.28  7.32    0.25
NGC4374   18.4   1.60  0.54   10.8   185.63  13.16   4.9
NGC4459   16.1   0.07  0.36   4.7    186.62  14.25   7.6
NGC4472   15.3   2.7   0.84   12.9   186.82  8.27    6.5
NGC4473   15.8   0.34  0.09   6.0    186.82  13.71   1.6
NGC4486b  16.1   0.92  0.003  4.9    186.99  12.77   0.06
NGC4552   15.3   0.47  0.14   6.8    188.28  12.83   2.1
NGC4564   15.3   0.25  0.04   5.0    188.48  11.71   0.88
NGC4594   9.8    0.69  0.29   8.1    189.33  -11.33  3.6
NGC4621   15.3   0.28  0.19   6.1    189.88  11.92   3.1
NGC4636   15.3   0.23  0.32   6.2    190.07  2.96    5.2
NGC4649   16.8   3.9   0.55   13.6   190.28  11.83   4.0
NGC4660   15.3   0.28  0.01   4.4    190.50  11.46   0.31
NGC4697   11.7   0.17  0.20   5.5    191.50  -5.53   3.6
NGC4874   93.3   20.8  2.08   24.4   194.30  28.23   8.5
NGC4889   93.3   26.8  1.28   24.5   194.43  28.24   5.2
NGC5128   4.2    0.24  0.06   5.1    200.63  -43.76  1.1
NGC5252   96.8   1.0   0.24   8.7    203.93  4.80    2.7
NGC5845   25.9   0.24  0.02   4.4    225.87  1.83    0.43
NGC6166   112.5  28.4  1.66   25.7   246.73  39.66   6.5
NGC6251   107.0  0.61  0.67   8.8    249.49  82.64   7.6
NGC7052   71.4   0.40  0.60   7.8    319.09  26.23   7.7
NGC7768   103.1  9.1   0.89   17.9   357.11  26.87   5.0
