Galaxy    RA      Dec
NGC821    31.42   10.76
NGC1399   54.14   -35.61
IC1459    343.60  -36.29
NGC1600   67.30   -5.19
NGC2300   108.94  85.81
NGC2768   136.937 60.244   
NGC2832   139.18  33.96
NGC3115   150.69  -7.48
NGC3245   156.13  28.76
NGC3379   161.30  12.85
NGC3608   168.59  18.42
NGC3610   168.880 59.060   
NGC3613   168.926 58.274   
NGC4125   181.407 65.450
NGC4168   182.43  13.48
NGC4261   184.21  8.02
NGC4278   184.41  29.56
NGC4291   184.52  75.65
NGC4342   185.28  7.32
NGC4374   185.63  13.16
NGC4459   186.62  14.25
NGC4472   186.82  8.27
NGC4473   186.82  13.71
NGC4486b  186.99  12.77
NGC4494   187.227 26.049
NGC4552   188.28  12.83
NGC4564   188.48  11.71
NGC4589   188.871 74.469
NGC4594   189.33  -11.33
NGC4621   189.88  11.92
NGC4636   190.07  2.96
NGC4649   190.28  11.83
NGC4660   190.50  11.46
NGC4697   191.50  -5.53
NGC4874   194.30  28.23
NGC4889   194.43  28.24
NGC5128   200.63  -43.76
NGC5252   203.93  4.80
NGC5322   206.895 60.438
NGC5845   225.87  1.83
NGC5846   225.987 1.7986
NGC6166   246.73  39.66
NGC6251   249.49  82.64
NGC7052   319.09  26.23
NGC7768   357.11  26.87
